name,email,roll_no,class_id
Aditya Vishwakarma,aditya@gmail.com,22232,13
Aman Kumar,aman@gmail.com,1,13
Vikas Patel,vikas@gmail.com,2,13
Pooja Yadav,pooja@gmail.com,3,13
Ankit Patel,ankit@gmail.com,4,13
Ankit Verma,ankit@gmail.com,5,13
Meena Sharma,meena@gmail.com,6,13
Ankit Kumar,ankit@gmail.com,7,13
Aarti Mishra,aarti@gmail.com,8,13
Rakesh Pandey,rakesh@gmail.com,9,13
Sachin Pandey,sachin@gmail.com,10,13
Pankaj Yadav,pankaj@gmail.com,11,13
Sachin Sharma,sachin@gmail.com,12,13
Kunal Mishra,kunal@gmail.com,13,13
Nitin Jain,nitin@gmail.com,14,13
Anjali Yadav,anjali@gmail.com,15,13
Pooja Sharma,pooja@gmail.com,16,13
Kiran Kumar,kiran@gmail.com,17,13
Arjun Mishra,arjun@gmail.com,18,13
Kavita Tiwari,kavita@gmail.com,19,13
Nitin Sharma,nitin@gmail.com,20,13
Neha Mishra,neha@gmail.com,21,13
Ankit Singh,ankit@gmail.com,22,13
Vivek Singh,vivek@gmail.com,23,13
Aditya Sharma,aditya@gmail.com,24,13
Nitin Chauhan,nitin@gmail.com,25,13
Amit Singh,amit@gmail.com,26,13
Kavita Mishra,kavita@gmail.com,27,13
Vivek Chauhan,vivek@gmail.com,28,13
Rahul Patel,rahul@gmail.com,29,13
Anjali Kumar,anjali@gmail.com,30,13
Pooja Pandey,pooja@gmail.com,31,13
Aarti Singh,aarti@gmail.com,32,13
Sunita Singh,sunita@gmail.com,33,13
Deepak Patel,deepak@gmail.com,34,13
Kavita Gupta,kavita@gmail.com,35,13
Neha Tiwari,neha@gmail.com,36,13
Deepak Tiwari,deepak@gmail.com,37,13
Nitin Singh,nitin@gmail.com,38,13
Vivek Sharma,vivek@gmail.com,39,13
Vikas Singh,vikas@gmail.com,40,13
Sachin Jain,sachin@gmail.com,41,13
Amit Jain,amit@gmail.com,42,13
Kiran Pandey,kiran@gmail.com,43,13
Kunal Sharma,kunal@gmail.com,44,13
Deepak Patel,deepak@gmail.com,45,13
Pankaj Yadav,pankaj@gmail.com,46,13
Pooja Tiwari,pooja@gmail.com,47,13
Suresh Singh,suresh@gmail.com,48,13
Anjali Chauhan,anjali@gmail.com,49,13
Aman Pandey,aman@gmail.com,50,13
Meena Sharma,meena@gmail.com,51,13
Neha Singh,neha@gmail.com,52,13
Priya Patel,priya@gmail.com,53,13
Rakesh Kumar,rakesh@gmail.com,54,13
Arjun Gupta,arjun@gmail.com,55,13
Rohit Kumar,rohit@gmail.com,56,13
